enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
8949,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,,,1.0,36,1.0
29725,city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15.0,99.0,Pvt Ltd,5.0,47,0.0
11561,city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,5.0,,,0.0,83,0.0
33241,city_115,0.789,,No relevent experience,,Graduate,Business Degree,0.0,,Pvt Ltd,0.0,52,1.0
666,city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,21.0,99.0,Funded Startup,4.0,8,0.0
21651,city_176,0.764,,Has relevent experience,Part time course,Graduate,STEM,11.0,,,1.0,24,1.0
28806,city_160,0.92,Male,Has relevent experience,no_enrollment,High School,,5.0,99.0,Funded Startup,1.0,24,0.0
402,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13.0,10.0,Pvt Ltd,5.0,18,1.0
27107,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7.0,99.0,Pvt Ltd,1.0,46,1.0
699,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,17.0,10000.0,Pvt Ltd,5.0,123,0.0
29452,city_21,0.624,,No relevent experience,Full time course,High School,,2.0,,,0.0,32,1.0
23853,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.0,9999.0,Pvt Ltd,1.0,108,0.0
25619,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,4999.0,Pvt Ltd,3.0,23,0.0
5826,city_21,0.624,Male,No relevent experience,,,,2.0,,,0.0,24,0.0
8722,city_21,0.624,,No relevent experience,Full time course,High School,,5.0,,,0.0,26,0.0
6588,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16.0,49.0,Pvt Ltd,5.0,18,0.0
4167,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,1.0,99.0,Pvt Ltd,0.0,106,0.0
5764,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,2.0,9999.0,Pvt Ltd,2.0,7,0.0
