id,service_a,service_b,service_c,service_d,service_e,service_f,service_g,service_h,service_i,service_j,service_k,service_l,service_m,service_n
11193,1,1,0,0,0,0,0,0,0,1,1,0,0,0
11382,0,0,0,0,0,0,0,0,0,1,1,0,0,0
16531,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1896,0,0,0,1,0,0,0,0,0,1,0,1,0,0
18262,0,0,0,1,1,0,0,0,0,0,1,1,1,0
10540,1,1,1,0,0,0,0,1,1,1,0,0,0,0
5244,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1929,1,1,1,0,0,0,0,0,0,1,1,0,0,0
11928,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6327,0,0,0,0,0,0,0,1,0,0,1,0,0,1
12437,0,0,0,0,0,0,0,0,0,1,1,0,0,0
14898,1,1,1,0,0,0,0,0,0,1,1,0,0,0
9981,1,1,0,0,0,0,0,0,0,1,1,0,0,0
5059,0,0,0,0,0,0,0,0,0,1,1,0,0,0
8818,0,0,0,0,0,0,0,0,0,1,1,0,0,0
9801,0,0,0,0,0,0,0,0,0,1,1,0,0,0
17986,0,0,0,0,0,0,0,0,0,1,1,0,0,0
17970,1,0,0,0,0,0,0,0,0,0,0,0,0,0
645,1,1,0,0,0,0,0,0,0,1,1,0,0,1
6496,1,1,0,0,0,0,0,0,0,1,1,0,0,0
10069,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1854,1,0,0,0,0,0,0,1,0,1,1,0,0,0
7634,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11309,0,0,0,0,0,0,0,0,0,0,1,1,1,0
15456,1,0,0,0,0,0,0,1,0,1,1,1,1,0
10175,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7195,0,0,0,0,0,0,0,1,0,1,1,0,0,0
17352,0,0,0,0,0,0,0,1,0,1,1,0,0,1
6192,1,1,1,0,0,0,0,0,0,1,1,0,0,0
12494,1,1,0,0,0,0,0,1,0,1,1,0,0,0
10007,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11357,1,1,0,0,0,0,0,1,0,1,1,0,0,0
7313,1,1,1,0,0,1,1,1,0,1,0,0,0,0
5299,0,0,0,0,1,0,0,0,0,1,1,0,0,0
1432,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13181,1,1,1,0,0,0,0,0,0,1,1,0,0,0
14359,1,1,1,0,0,0,0,0,0,1,0,0,0,0
5266,0,0,0,0,0,0,0,0,0,1,1,0,0,1
15055,1,0,1,0,0,0,0,0,0,0,0,0,0,1
12308,0,0,0,0,0,0,0,0,0,1,1,0,0,1
4209,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7651,1,0,0,0,0,0,0,1,1,1,1,0,0,0
8768,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10178,0,0,0,0,0,0,0,1,0,0,1,0,0,0
15389,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5022,0,1,0,0,0,0,0,0,0,1,1,0,0,0
3143,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8927,1,1,1,0,0,1,1,0,0,1,0,0,0,0
7629,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15606,1,1,0,0,0,0,0,1,0,1,0,0,0,1
2410,1,1,1,0,0,0,0,1,0,0,0,0,0,0
4616,1,1,1,0,1,0,0,1,0,1,1,1,0,1
12867,0,0,0,0,0,0,0,0,0,1,1,0,0,0
12404,0,1,0,0,1,0,0,1,0,1,1,1,0,0
16467,1,1,0,0,0,0,0,1,0,1,1,0,0,0
11166,0,0,0,0,0,0,0,1,0,1,1,0,0,0
4635,1,1,0,0,0,0,0,0,0,1,1,0,0,0
8439,1,0,0,0,0,0,0,0,0,1,1,0,0,0
6577,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5469,1,0,0,1,0,0,0,0,0,1,1,0,0,0
3264,1,0,0,0,0,0,0,1,0,1,1,0,0,1
17384,1,0,0,0,0,0,0,0,0,1,1,0,0,0
7113,0,1,1,0,0,0,0,0,0,1,1,0,0,0
2862,1,1,0,0,0,0,0,0,0,1,0,0,0,1
62,0,0,0,0,0,0,0,0,0,1,1,0,0,0
17424,0,0,0,0,0,0,0,0,0,1,1,0,0,0
8370,0,0,0,0,0,0,0,1,0,1,1,0,0,0
11984,0,0,0,0,0,0,0,1,0,1,1,1,1,0
5264,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1402,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3930,1,1,1,0,0,0,0,1,0,1,1,0,0,0
1917,1,1,0,0,0,0,0,0,0,1,1,0,0,0
