user_id,region,city,parent_category_name,category_name,param_1,param_2,param_3,title,description,price,item_seq_number,activation_date,user_type,image_top_1,deal_probability
2ed9a7441967,Свердловская область,Екатеринбург,Бытовая электроника,Товары для компьютера,Комплектующие,Жёсткие диски,,Western Digital WD Caviar Black (1000Gb),,3500.0,5,2017-03-17,Private,,0.0
b5bcef64bbf2,Свердловская область,Екатеринбург,Личные вещи,Детская одежда и обувь,Для девочек,Обувь,21,Ортопедические сандалики bi ki,куплены за 1 510. смотреть на визе.,500.0,141,2017-03-27,Private,93.0,0.80323
a0bbe1b796f0,Краснодарский край,Краснодар,Недвижимость,Квартиры,Продам,2,Вторичка,"2-к квартира, 45 м², 7/9 эт.","Отличная 2-к квартира, изолированные комнаты и раздельный санузел, утепленный балкон, окна МПО с улучшенным профилем, просторная кухня для этого типа домов, санузлы в кафеле с новой сантехникой,  две сплит-системы. Самый экологически чистый район города. Через дорогу Сельхозинститут, пять минут ходьбы до дендрария. Квартира  полностью укомплектована мебелью и техникой.  Много мест для наземной парковки!/
В шаговой доступности находятся магнит, агрокомплекс, аптеки, овощные магазины и тд. /
Благоприятный район для проживания, до центра города 15 минут езды. Прекрасный вариант  как для семейного проживания, так и для сдачу в аренду. Рассмотрим любой вид расчета.",2550000.0,150,2017-03-18,Shop,2220.0,0.05268
41dc86ddb584,Татарстан,Елабуга,Недвижимость,Квартиры,Продам,2,Вторичка,"2-к квартира, 48 м², 1/2 эт.","Индив. отопление, пластиковые окна, земельный участок",1300000.0,30,2017-03-26,Private,,0.28431999999999996
899ad4191a14,Башкортостан,Нефтекамск,Недвижимость,Земельные участки,Продам,"Сельхозназначения (СНТ, ДНП)",,"Участок 4 сот. (СНТ, ДНП)","СНТ ""Арлан"" (марьино), ст сады участок 48",60000.0,63,2017-03-23,Company,,0.12404000000000001
a4176b09d8da,Оренбургская область,Оренбург,Личные вещи,Детская одежда и обувь,Для мальчиков,Брюки,Без размера,Утепленные джинсы 98р,"В хорошем состоянии,внутри флис,98р.",250.0,35,2017-03-28,Private,117.0,0.0
42d20c5e2c82,Ростовская область,Азов,Личные вещи,Детская одежда и обувь,Для девочек,"Шапки, варежки, шарфы",,Шапочка на весну,"Красивая,удобная шапочка))/
В подарок отдам колготки для дома))",150.0,2,2017-03-19,Private,101.0,0.80323
4b0ed523dade,Ярославская область,Ярославль,Личные вещи,Товары для детей и игрушки,Детские коляски,,,Классическая коляска-вездеход,"продадим наш вездеход и просто красавицу колясочку Kajtex лен 2 в 1. короб просто огромный по вместимости, малышу в нем будет комфортно как зимой в теплой одежде, так и летом. Есть возможность поднятия спинки до полного сидения))) Прогулочный блок широкий, спинка имеет несколько положений, от сидячего до лежачего. Сумочка для мамы так же очень вместительная. Дождевик, маскитка, накидка на ножки - все в наличии!!! Колясочка очень красивая и ухоженная, реально проедет везде, ооооочень легкая в управлении (даже легче чем коляски с поворотными колесами). В подарочек отдадим матрасик для короба. Посмотреть можно в любое время в Дядького.",8000.0,31,2017-03-26,Private,1002.0,0.80323
94105015712c,Ростовская область,Волгодонск,Бытовая электроника,"Игры, приставки и программы",Игры для приставок,,,На x-box360,"Коллекционное издание оригинал , цена за диск 500₽",500.0,18,2017-03-18,Private,2888.0,0.0
a865cb9dab9d,Ханты-Мансийский АО,Нефтеюганск,Личные вещи,Детская одежда и обувь,Для мальчиков,Брюки,86-92 см (1-2 года),Летние штаны детские,,300.0,89,2017-03-15,Private,72.0,0.0
187a571acda2,Башкортостан,Уфа,Услуги,Предложение услуг,Деловые услуги,Юридические услуги,,Риэлторские услуги,"Окажу помощь в подборе,покупке,продаже недвижимости,а так же сопровождение сделки,помощь в оформлении ипотеки",20000.0,2,2017-03-16,Company,1258.0,0.57143
6b79a85917af,Ставропольский край,Ставрополь,Личные вещи,Детская одежда и обувь,Для мальчиков,Комбинезоны и боди,74-80 см (7-12 мес),Комбинезон и футболка baby go,"Комбинезон 2-6 мес/
Футболка 86см.",400.0,280,2017-03-16,Company,42.0,0.0
76249ef7a952,Оренбургская область,Оренбург,Личные вещи,Детская одежда и обувь,Для мальчиков,Верхняя одежда,74-80 см (7-12 мес),Куртка д/с,"Продам куртку,Ткань микровельвет на трикотажной подкладке",450.0,18,2017-03-27,Private,61.0,0.0
794712a91f76,Пермский край,Кунгур,Бытовая электроника,Аудио и видео,Усилители и ресиверы,,,Cortland STH-6000 без акустики,"DVD плеер работает в режиме ресивера, максимальная мощность 1200 Вт. с пультом./
DVD не читает, пишет не видит диск./
Пульт работает, FM тоже./
Номинальное сопротивление 6 Ом",1000.0,30,2017-03-19,Private,3025.0,0.0
954e365aa3de,Алтайский край,Барнаул,Личные вещи,Детская одежда и обувь,Для девочек,Трикотаж,62-68 см (2-6 мес),Костюм и песочник,"Песочник новый 62 р-р - 150р/
Костюм - 68 р-р - 200р. Состояние нового./
Подходят как для мальчика, так и для девочки",150.0,26,2017-03-23,Private,83.0,0.0
e9c1b76b7b48,Ханты-Мансийский АО,Сургут,Личные вещи,Товары для детей и игрушки,Товары для кормления,,,Молочная смесь (каши),,150.0,26,2017-03-23,Private,1188.0,0.0
7727a06ed508,Свердловская область,Екатеринбург,Личные вещи,"Одежда, обувь, аксессуары",Женская одежда,Верхняя одежда,42–44 (S),Вязанный кардиган,,250.0,17,2017-03-23,Private,571.0,0.0
55aa7147732f,Волгоградская область,Волжский,Для дома и дачи,Бытовая техника,Для дома,Стиральные машины,,Zanussi 704 nn,"Продам стиральную машинку,требуется замена подшипника барабана.А так полностью рабочая стиралка.",1000.0,148,2017-03-22,Private,1990.0,0.45022
a166bc0f9eb9,Татарстан,Казань,Недвижимость,Коммерческая недвижимость,Сдам,Помещение свободного назначения,,Помещение в аренду,"Сдам помещение свободного назначения на 1- ом этаже в жилом доме. Отдельный вход, доступ в помещение круглосуточно. Можно под мастерскую либо под офис. /
Хороший пешеходный трафик. Все вопросы по телефону.",5500.0,46,2017-03-23,Company,2262.0,0.42888000000000004
6f439a95304f,Владимирская область,Кольчугино,Хобби и отдых,Коллекционирование,Другое,,,Старинные рубанки,,4000.0,66,2017-03-20,Private,1258.0,0.0
081aeb8e38f1,Ставропольский край,Ставрополь,Хобби и отдых,Коллекционирование,Монеты,,,Монета,пять копеек 1924г продам,10.0,2,2017-03-16,Private,2419.0,0.31492
